Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_flares,24,10000000.0,0.0001,0.7718,0.0944,0.7768,0.0951
flare_linked,24,0.001,1.0,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.1,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.01,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.07,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.005,0.0,0.0,0.0,0.0
flare_linked,24,0.001,0.0001,0.0,0.0,0.0,0.0
flare_linked,24,0.01,1.0,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.1,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.01,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.07,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.005,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.0001,0.0,0.0,0.0,0.0
flare_linked,24,0.1,1.0,0.0,0.0,0.0,0.0
flare_linked,24,0.1,0.1,-0.0182,0.1274,-0.0079,0.1065
flare_linked,24,0.1,0.01,-0.0125,0.0374,-0.0063,0.019
flare_linked,24,0.1,0.07,-0.0558,0.144,-0.0311,0.113
flare_linked,24,0.1,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.1,0.005,0.0,0.0,0.0,0.0
flare_linked,24,0.1,0.0001,0.0,0.0,0.0,0.0
flare_linked,24,1.0,1.0,0.1735,0.1473,0.2105,0.1721
flare_linked,24,1.0,0.1,0.2562,0.1339,0.2399,0.1264
flare_linked,24,1.0,0.01,0.107,0.1859,0.0769,0.1279
flare_linked,24,1.0,0.07,0.2072,0.1584,0.1811,0.1441
flare_linked,24,1.0,0.001,-0.0259,0.1688,-0.0163,0.0968
flare_linked,24,1.0,0.005,0.0684,0.1703,0.0521,0.1107
flare_linked,24,1.0,0.0001,0.0,0.0,0.0,0.0
flare_linked,24,10.0,1.0,0.1874,0.136,0.2325,0.1658
flare_linked,24,10.0,0.1,0.6116,0.1078,0.6291,0.0984
flare_linked,24,10.0,0.01,0.4605,0.1013,0.3847,0.0775
flare_linked,24,10.0,0.07,0.654,0.0862,0.643,0.0871
flare_linked,24,10.0,0.001,0.1293,0.1783,0.1001,0.1306
flare_linked,24,10.0,0.005,0.3296,0.1359,0.2532,0.1112
flare_linked,24,10.0,0.0001,0.0546,0.1516,0.0285,0.0841
flare_linked,24,100.0,1.0,0.1874,0.136,0.2325,0.1658
flare_linked,24,100.0,0.1,0.6365,0.0845,0.6726,0.0791
flare_linked,24,100.0,0.01,0.6459,0.1189,0.6197,0.1019
flare_linked,24,100.0,0.07,0.7139,0.1106,0.7342,0.0798
flare_linked,24,100.0,0.001,0.4317,0.1456,0.341,0.111
flare_linked,24,100.0,0.005,0.5726,0.1522,0.5116,0.1342
flare_linked,24,100.0,0.0001,0.1099,0.1622,0.0828,0.1155
flare_linked,24,1000.0,1.0,0.1874,0.136,0.2325,0.1658
flare_linked,24,1000.0,0.1,0.6365,0.0845,0.6726,0.0791
flare_linked,24,1000.0,0.01,0.8089,0.0859,0.8009,0.0591
flare_linked,24,1000.0,0.07,0.7139,0.1106,0.7342,0.0798
flare_linked,24,1000.0,0.001,0.5156,0.1217,0.4513,0.1055
flare_linked,24,1000.0,0.005,0.722,0.1046,0.686,0.0818
flare_linked,24,1000.0,0.0001,0.4149,0.1243,0.33,0.1045
flare_linked,24,10000.0,1.0,0.1874,0.136,0.2325,0.1658
flare_linked,24,10000.0,0.1,0.6365,0.0845,0.6726,0.0791
flare_linked,24,10000.0,0.01,0.73,0.1406,0.7231,0.0947
flare_linked,24,10000.0,0.07,0.7139,0.1106,0.7342,0.0798
flare_linked,24,10000.0,0.001,0.6265,0.105,0.5876,0.0821
flare_linked,24,10000.0,0.005,0.7863,0.0759,0.7695,0.0569
flare_linked,24,10000.0,0.0001,0.549,0.132,0.4642,0.1246
flare_linked,24,100000.0,1.0,0.1874,0.136,0.2325,0.1658
flare_linked,24,100000.0,0.1,0.6365,0.0845,0.6726,0.0791
flare_linked,24,100000.0,0.01,0.7328,0.1445,0.7286,0.1017
flare_linked,24,100000.0,0.07,0.7139,0.1106,0.7342,0.0798
flare_linked,24,100000.0,0.001,0.7306,0.089,0.6911,0.0721
flare_linked,24,100000.0,0.005,0.7693,0.1216,0.7586,0.0891
flare_linked,24,100000.0,0.0001,0.5345,0.1536,0.4679,0.1251
flare_linked,24,1000000.0,1.0,0.1874,0.136,0.2325,0.1658
flare_linked,24,1000000.0,0.1,0.6365,0.0845,0.6726,0.0791
flare_linked,24,1000000.0,0.01,0.7328,0.1445,0.7286,0.1017
flare_linked,24,1000000.0,0.07,0.7139,0.1106,0.7342,0.0798
flare_linked,24,1000000.0,0.001,0.7492,0.0965,0.7415,0.0775
flare_linked,24,1000000.0,0.005,0.7693,0.1216,0.7586,0.0891
flare_linked,24,1000000.0,0.0001,0.6048,0.1262,0.561,0.0938
flare_linked,24,10000000.0,1.0,0.1874,0.136,0.2325,0.1658
flare_linked,24,10000000.0,0.1,0.6365,0.0845,0.6726,0.0791
flare_linked,24,10000000.0,0.01,0.7328,0.1445,0.7286,0.1017
flare_linked,24,10000000.0,0.07,0.7139,0.1106,0.7342,0.0798
flare_linked,24,10000000.0,0.001,0.7338,0.0855,0.7321,0.0561
flare_linked,24,10000000.0,0.005,0.7693,0.1216,0.7586,0.0891
flare_linked,24,10000000.0,0.0001,0.6039,0.0824,0.5768,0.0746
only_cme,24,0.001,1.0,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.1,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.01,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.07,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.001,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.005,0.0,0.0,0.0,0.0
only_cme,24,0.001,0.0001,0.0,0.0,0.0,0.0
only_cme,24,0.01,1.0,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.1,0.0333,0.1,0.0242,0.0727
only_cme,24,0.01,0.01,0.0,0.0,0.0,0.0
only_cme,24,0.01,0.07,0.0194,0.0583,0.0109,0.0326
