Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_cme,12,18,0.0001,0.0001,0.2909,0.1598,0.3375,0.1719
only_cme,12,18,0.0001,0.001,0.3687,0.2177,0.3713,0.1932
only_cme,12,18,0.001,1e-07,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,0.001,1e-06,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,0.001,1e-05,0.3499,0.1789,0.3824,0.1796
only_cme,12,18,0.001,0.0001,0.2909,0.1598,0.3375,0.1719
only_cme,12,18,0.001,0.001,0.3687,0.2177,0.3713,0.1932
only_cme,12,36,1e-07,1e-07,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-07,1e-06,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-07,1e-05,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-07,0.0001,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-07,0.001,0.3268,0.1171,0.3299,0.1185
only_cme,12,36,1e-06,1e-07,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-06,1e-06,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-06,1e-05,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-06,0.0001,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-06,0.001,0.3268,0.1171,0.3299,0.1185
only_cme,12,36,1e-05,1e-07,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-05,1e-06,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-05,1e-05,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-05,0.0001,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,1e-05,0.001,0.3268,0.1171,0.3299,0.1185
only_cme,12,36,0.0001,1e-07,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,0.0001,1e-06,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,0.0001,1e-05,0.2581,0.1722,0.2873,0.1646
only_cme,12,36,0.0001,0.0001,0.2581,0.1722,0.2873,0.1646
