,HARPNUM,NOAANUM,CLASS,PEAKTIME,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
81,1321,11401,M1.0,2012.01.16_04:53_TAI,8.268011e+22,63.167,-0.00718378,8895.043,28.313,4104.933,38.071,-0.01436112,41.453,70.724,0.00893704,70537930000000.0,28480980000000.0,1.302361e+24,34.756,2156.873779,4.698,791.975
82,1350,11410,M1.0,2012.02.05_20:00_TAI,2.741331e+22,86.67,-0.00016733,5158.308,16.696,1414.745,36.841,-0.00045794,34.745,90.951,-0.13596736,29687110000000.0,4792349000000.0,2.874178e+23,29.017,696.774658,4.122,7.02
83,1449,11429,M2.1,2012.03.04_19:16_TAI,4.341028e+22,80.365,-0.01966181,13192.9,37.518,3196.104,53.57,-0.03087433,47.384,95.638,0.08302108,51084480000000.0,40838630000000.0,9.248852e+23,42.038,1324.382446,4.826,1037.849
84,1449,11429,M1.8,2012.03.04_19:30_TAI,4.308002e+22,80.899,-0.0203177,13360.83,38.211,3182.123,54.562,-0.03160983,47.572,98.1,0.00954297,51380040000000.0,39518300000000.0,9.253377e+23,42.246,1328.875977,4.839,1059.548
85,1449,11429,M1.3,2012.03.04_22:34_TAI,4.617027e+22,81.334,-0.02237457,14000.75,38.83,3561.423,54.334,-0.03598252,47.98,96.969,0.00994985,56464260000000.0,47453470000000.0,1.073206e+24,42.228,1379.710815,4.879,1291.371
86,1449,11429,M1.3,2012.03.05_00:28_TAI,4.733254e+22,83.404,-0.02443276,14309.38,39.271,3916.247,56.966,-0.03803458,48.274,101.462,-9.444e-05,61101350000000.0,50756820000000.0,1.109898e+24,42.797,1422.027832,4.905,1426.971
87,1449,11429,M1.2,2012.03.05_01:44_TAI,4.819927e+22,83.928,-0.02647938,14540.84,39.294,4151.759,57.362,-0.04085844,48.312,101.611,0.02583217,62816290000000.0,54771850000000.0,1.146602e+24,42.512,1460.973755,4.923,1572.24
88,1449,11429,M1.0,2012.03.05_04:05_TAI,4.894667e+22,84.365,-0.02510934,14435.09,39.695,4457.062,57.479,-0.04044068,48.857,102.21,-0.07056099,68968520000000.0,56011290000000.0,1.196389e+24,43.164,1499.648071,5.006,1566.974
89,1449,11429,M1.0,2012.03.05_07:55_TAI,4.879771e+22,85.167,-0.02626899,15181.63,41.143,4298.676,57.752,-0.04115843,49.604,102.488,-0.03432059,67343840000000.0,56213640000000.0,1.234815e+24,43.969,1563.955444,5.01,1608.818
90,1449,11429,M2.1,2012.03.05_12:41_TAI,4.770395e+22,83.963,-0.02676725,16121.26,41.601,4215.963,58.934,-0.04026077,49.36,101.676,0.06135102,64447190000000.0,55583980000000.0,1.242001e+24,43.939,1552.681885,4.95,1552.768
