HARPNUM NOAA_Number Class Peak_Time USFLUX MEANGBT MEANJZH MEANPOT SHRGT45 TOTUSJH MEANGBH MEANALP MEANGAM MEANGBZ MEANJZD TOTUSJZ SAVNCPP TOTPOT MEANSHR AREA_ACR R_VALUE ABSNJZH
814 11286 M1.6 2011.09.04_04:28_TAI 2.07125e+22 101.402 -0.0031972 3939.139 13.443 1117.03 43.042 -0.009571 33.725 101.014 -0.11911713 2.50398e+13 3.435266e+12 1.729328e+23 27.852 632.887329 3.821 105.677
814 11286 M1.2 2011.09.04_07:58_TAI 2.151381e+22 93.702 -0.00254674 3671.054 12.547 1114.672 38.316 -0.00808947 32.772 94.042 -0.05568312 2.499531e+13 2.265555e+12 1.71158e+23 27.071 594.340637 3.799 89.406
833 11283 M5.3 2011.09.05_01:50_TAI 2.27548e+22 108.265 -0.00133106 6525.299 40.003 2081.375 65.939 -0.00451624 52.226 108.206 0.31615111 4.781465e+13 7.499288e+12 3.842627e+23 42.319 1444.330688 4.18 59.021
833 11283 X2.1 2011.09.05_22:20_TAI 1.96011e+22 104.029 0.00484456 7019.133 42.096 1884.057 65.792 0.01690842 54.395 104.314 0.25686935 4.325858e+13 9.35523e+12 3.712189e+23 43.832 1386.162476 4.405 192.906
833 11283 M1.2 2011.09.08_12:49_TAI 2.202301e+22 99.927 0.00606686 5679.175 29.497 1664.149 50.044 0.02193646 43.765 102.167 0.11545154 4.278588e+13 8.718336e+12 3.229418e+23 37.363 1020.22345 4.503 259.746
833 11283 M1.1 2011.09.09_07:40_TAI 3.0177e+22 96.219 0.005609 5685.796 21.943 2206.992 46.24 0.01701169 38.583 102.805 0.02357626 4.873004e+13 1.473497e+13 3.824501e+23 33.773 1045.84436 4.523 284.068
856 11295 M1.6 2011.09.22_01:59_TAI 5.692905e+22 98.471 0.00347017 4825.076 23.67 3885.448 47.272 0.0110656 39.452 101.944 0.03288315 9.027719e+13 1.513187e+13 6.318463e+23 34.266 2043.726807 4.561 342.169
856 11295 M1.6 2011.09.22_22:15_TAI 6.410936e+22 88.422 0.00386386 4961.141 18.706 3757.103 41.282 0.01105863 36.232 93.436 -0.04200354 7.968981e+13 1.308108e+13 6.672819e+23 31.293 1842.943848 4.664 391.316
892 11302 M7.1 2011.09.23_13:20_TAI 6.362531e+22 64.757 -0.00863482 13003.35 37.865 4633.63 42.457 -0.01615668 46.889 77.488 0.00992998 7.453667e+13 2.030668e+13 1.534906e+24 41.395 1952.906494 4.734 767.471
856 11295 M1.7 2011.09.23_16:59_TAI 7.042276e+22 74.63 0.00125951 6479.476 20.853 3744.352 36.827 0.00309235 36.52 82.261 -0.0599687 6.749695e+13 9.194313e+12 8.705625e+23 30.632 1898.400269 4.643 127.421
