Method,Time,Layers,Alpha,Tolerance,TSS Mean,TSS Std,HSS Mean,HSS Std
only_cme,12,18,1e-07,0.001,0.0175,0.0418,0.0247,0.0604
only_cme,12,18,1e-06,1e-07,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-06,1e-06,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-06,1e-05,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-06,0.0001,0.0758,0.0623,0.1027,0.0836
only_cme,12,18,1e-06,0.001,0.0175,0.0418,0.0247,0.0604
only_cme,12,18,1e-05,1e-07,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-05,1e-06,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-05,1e-05,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,1e-05,0.0001,0.0758,0.0623,0.1027,0.0836
only_cme,12,18,1e-05,0.001,0.0175,0.0418,0.0247,0.0604
only_cme,12,18,0.0001,1e-07,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,0.0001,1e-06,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,0.0001,1e-05,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,0.0001,0.0001,0.07,0.0682,0.0945,0.0917
only_cme,12,18,0.0001,0.001,0.0175,0.0418,0.0247,0.0604
only_cme,12,18,0.001,1e-07,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,0.001,1e-06,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,0.001,1e-05,0.0629,0.0702,0.0841,0.0937
only_cme,12,18,0.001,0.0001,0.07,0.0682,0.0945,0.0917
only_cme,12,18,0.001,0.001,0.0175,0.0418,0.0247,0.0604
only_cme,12,36,1e-07,1e-07,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-07,1e-06,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-07,1e-05,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-07,0.0001,0.1101,0.0971,0.1447,0.1233
only_cme,12,36,1e-07,0.001,0.0197,0.0718,0.0276,0.0996
only_cme,12,36,1e-06,1e-07,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-06,1e-06,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-06,1e-05,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-06,0.0001,0.1101,0.0971,0.1447,0.1233
only_cme,12,36,1e-06,0.001,0.0197,0.0718,0.0276,0.0996
only_cme,12,36,1e-05,1e-07,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-05,1e-06,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-05,1e-05,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,1e-05,0.0001,0.1101,0.0971,0.1447,0.1233
only_cme,12,36,1e-05,0.001,0.0197,0.0718,0.0276,0.0996
only_cme,12,36,0.0001,1e-07,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,0.0001,1e-06,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,0.0001,1e-05,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,0.0001,0.0001,0.1101,0.0971,0.1447,0.1233
only_cme,12,36,0.0001,0.001,0.0197,0.0718,0.0276,0.0996
only_cme,12,36,0.001,1e-07,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,0.001,1e-06,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,0.001,1e-05,0.1172,0.0966,0.1529,0.1228
only_cme,12,36,0.001,0.0001,0.1101,0.0971,0.1447,0.1233
only_cme,12,36,0.001,0.001,0.0197,0.0718,0.0276,0.0996
only_cme,12,54,1e-07,1e-07,0.1058,0.1655,0.1197,0.1723
only_cme,12,54,1e-07,1e-06,0.1058,0.1655,0.1197,0.1723
only_cme,12,54,1e-07,1e-05,0.1058,0.1655,0.1197,0.1723
only_cme,12,54,1e-07,0.0001,0.1001,0.1666,0.1107,0.173
only_cme,12,54,1e-07,0.001,0.0041,0.0238,0.0055,0.0335
only_cme,12,54,1e-06,1e-07,0.1058,0.1655,0.1197,0.1723
only_cme,12,54,1e-06,1e-06,0.1058,0.1655,0.1197,0.1723
