Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
flare_linked,24,0.01,0.07,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.001,0.0,0.0,0.0,0.0
flare_linked,24,0.01,0.005,0.0,0.0,0.0,0.0
flare_linked,24,0.1,1.0,0.0492,0.0229,0.0354,0.0216
flare_linked,24,0.1,0.1,0.1431,0.0718,0.1013,0.0506
flare_linked,24,0.1,0.01,0.1367,0.059,0.0914,0.0393
flare_linked,24,0.1,0.07,0.1504,0.069,0.1053,0.0477
flare_linked,24,0.1,0.001,0.0501,0.0218,0.0344,0.0245
flare_linked,24,0.1,0.005,0.1012,0.0715,0.0639,0.0455
flare_linked,24,1.0,1.0,0.1462,0.0682,0.1475,0.067
flare_linked,24,1.0,0.1,0.1355,0.0507,0.1054,0.0378
flare_linked,24,1.0,0.01,0.1708,0.0646,0.1179,0.0446
flare_linked,24,1.0,0.07,0.1571,0.0431,0.1189,0.0332
flare_linked,24,1.0,0.001,0.1181,0.0717,0.0777,0.0475
flare_linked,24,1.0,0.005,0.1565,0.0665,0.1068,0.0452
flare_linked,24,10.0,1.0,0.1479,0.0806,0.1605,0.0881
flare_linked,24,10.0,0.1,0.1785,0.0617,0.1508,0.0526
flare_linked,24,10.0,0.01,0.1621,0.0577,0.117,0.0423
flare_linked,24,10.0,0.07,0.1645,0.0597,0.1369,0.0511
flare_linked,24,10.0,0.001,0.1413,0.0782,0.0965,0.0538
flare_linked,24,10.0,0.005,0.1742,0.0565,0.1228,0.0401
flare_linked,24,100.0,1.0,0.1493,0.0636,0.1632,0.0701
flare_linked,24,100.0,0.1,0.1997,0.0505,0.1871,0.0496
flare_linked,24,100.0,0.01,0.1994,0.0392,0.1537,0.0322
flare_linked,24,100.0,0.07,0.1714,0.0588,0.1544,0.054
flare_linked,24,100.0,0.001,0.1722,0.0618,0.1205,0.0431
flare_linked,24,100.0,0.005,0.1748,0.0592,0.1298,0.0462
flare_linked,24,1000.0,1.0,0.1493,0.0636,0.1632,0.0701
flare_linked,24,1000.0,0.1,0.17,0.0611,0.1651,0.0583
flare_linked,24,1000.0,0.01,0.1722,0.0585,0.1386,0.0485
flare_linked,24,1000.0,0.07,0.1986,0.044,0.192,0.0411
flare_linked,24,1000.0,0.001,0.1635,0.0587,0.119,0.0433
flare_linked,24,1000.0,0.005,0.1717,0.0456,0.1357,0.0375
flare_linked,24,10000.0,1.0,0.1493,0.0636,0.1632,0.0701
flare_linked,24,10000.0,0.1,0.1461,0.0489,0.1435,0.0476
flare_linked,24,10000.0,0.01,0.1954,0.0623,0.1666,0.0559
flare_linked,24,10000.0,0.07,0.1686,0.0682,0.1653,0.0657
flare_linked,24,10000.0,0.001,0.1723,0.0492,0.1307,0.0394
flare_linked,24,10000.0,0.005,0.2111,0.0705,0.1719,0.0597
flare_linked,24,100000.0,1.0,0.1493,0.0636,0.1632,0.0701
flare_linked,24,100000.0,0.1,0.1461,0.05,0.1435,0.0488
