Method,Time,C,Gamma,TSS Mean,TSS Std,HSS Mean,HSS Std
only_cme,24,100.0,0.01,0.8375,0.0517,0.7496,0.0587
only_cme,24,100.0,0.07,0.8635,0.0555,0.874,0.0447
only_cme,24,100.0,0.001,0.4165,0.0761,0.3243,0.0605
only_cme,24,100.0,0.005,0.7252,0.0775,0.6157,0.0819
only_cme,24,1000.0,1.0,0.3116,0.1071,0.3943,0.1133
only_cme,24,1000.0,0.1,0.8028,0.0522,0.8268,0.0412
only_cme,24,1000.0,0.01,0.888,0.0438,0.8445,0.0517
only_cme,24,1000.0,0.07,0.8109,0.0472,0.8323,0.0323
only_cme,24,1000.0,0.001,0.622,0.0805,0.5177,0.0827
only_cme,24,1000.0,0.005,0.8641,0.0456,0.7878,0.0443
only_cme,24,10000.0,1.0,0.3116,0.1071,0.3943,0.1133
only_cme,24,10000.0,0.1,0.8028,0.0522,0.8268,0.0412
only_cme,24,10000.0,0.01,0.8951,0.0383,0.9034,0.0287
only_cme,24,10000.0,0.07,0.8143,0.0499,0.8356,0.0316
only_cme,24,10000.0,0.001,0.7888,0.0642,0.6826,0.0562
only_cme,24,10000.0,0.005,0.8948,0.0403,0.864,0.0331
only_cme,24,100000.0,1.0,0.3116,0.1071,0.3943,0.1133
only_cme,24,100000.0,0.1,0.8028,0.0522,0.8268,0.0412
only_cme,24,100000.0,0.01,0.8749,0.0435,0.8784,0.0349
only_cme,24,100000.0,0.07,0.8143,0.0499,0.8356,0.0316
only_cme,24,100000.0,0.001,0.8694,0.052,0.8075,0.0542
only_cme,24,100000.0,0.005,0.8993,0.0366,0.8991,0.0209
only_flares,36,0.001,1.0,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.1,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.01,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.07,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.001,0.0,0.0,0.0,0.0
only_flares,36,0.001,0.005,0.0,0.0,0.0,0.0
only_flares,36,0.01,1.0,0.0,0.0,0.0,0.0
only_flares,36,0.01,0.1,0.0,0.0,0.0,0.0
only_flares,36,0.01,0.01,0.0,0.0,0.0,0.0
only_flares,36,0.01,0.07,0.0,0.0,0.0,0.0
only_flares,36,0.01,0.001,0.0,0.0,0.0,0.0
only_flares,36,0.01,0.005,0.0,0.0,0.0,0.0
only_flares,36,0.1,1.0,0.3987,0.1289,0.3907,0.1278
only_flares,36,0.1,0.1,0.2329,0.0586,0.2309,0.058
only_flares,36,0.1,0.01,0.0076,0.0535,0.0073,0.0541
only_flares,36,0.1,0.07,0.2128,0.07,0.2105,0.0693
only_flares,36,0.1,0.001,0.0,0.0,0.0,0.0
only_flares,36,0.1,0.005,-0.0098,0.0699,-0.0102,0.07
only_flares,36,1.0,1.0,0.5751,0.0447,0.5715,0.0451
only_flares,36,1.0,0.1,0.4774,0.0868,0.4793,0.0875
only_flares,36,1.0,0.01,0.2183,0.0623,0.2205,0.0629
only_flares,36,1.0,0.07,0.4245,0.0842,0.4257,0.0841
only_flares,36,1.0,0.001,0.0041,0.0735,0.0044,0.0753
only_flares,36,1.0,0.005,0.0996,0.0549,0.1017,0.0559
only_flares,36,10.0,1.0,0.5955,0.0532,0.5937,0.0529
only_flares,36,10.0,0.1,0.7094,0.0464,0.712,0.0448
only_flares,36,10.0,0.01,0.4937,0.0392,0.4935,0.0383
only_flares,36,10.0,0.07,0.7058,0.0431,0.7088,0.0427
only_flares,36,10.0,0.001,0.1212,0.058,0.1238,0.0588
only_flares,36,10.0,0.005,0.3906,0.0476,0.3902,0.0482
only_flares,36,100.0,1.0,0.5955,0.0532,0.5937,0.0529
only_flares,36,100.0,0.1,0.7828,0.0372,0.7848,0.0365
only_flares,36,100.0,0.01,0.6606,0.0504,0.6639,0.0492
only_flares,36,100.0,0.07,0.8034,0.0247,0.8055,0.0233
only_flares,36,100.0,0.001,0.3892,0.0456,0.3899,0.0452
only_flares,36,100.0,0.005,0.5975,0.0363,0.5994,0.0355
only_flares,36,1000.0,1.0,0.5955,0.0532,0.5937,0.0529
only_flares,36,1000.0,0.1,0.7643,0.0398,0.7671,0.04
only_flares,36,1000.0,0.01,0.8324,0.036,0.8345,0.0361
only_flares,36,1000.0,0.07,0.8075,0.0303,0.8096,0.03
only_flares,36,1000.0,0.001,0.5276,0.0549,0.5292,0.0551
only_flares,36,1000.0,0.005,0.7269,0.0399,0.7296,0.0387
only_flares,36,10000.0,1.0,0.5955,0.0532,0.5937,0.0529
only_flares,36,10000.0,0.1,0.7643,0.0398,0.7671,0.04
only_flares,36,10000.0,0.01,0.8508,0.0391,0.8522,0.0387
only_flares,36,10000.0,0.07,0.798,0.039,0.8003,0.0389
only_flares,36,10000.0,0.001,0.6626,0.0387,0.6653,0.0381
only_flares,36,10000.0,0.005,0.8382,0.0328,0.8398,0.0329
only_flares,36,100000.0,1.0,0.5955,0.0532,0.5937,0.0529
only_flares,36,100000.0,0.1,0.7643,0.0398,0.7671,0.04
only_flares,36,100000.0,0.01,0.8243,0.0436,0.8254,0.0434
only_flares,36,100000.0,0.07,0.798,0.039,0.8003,0.0389
only_flares,36,100000.0,0.001,0.7827,0.0301,0.7848,0.0291
only_flares,36,100000.0,0.005,0.8433,0.0401,0.844,0.0406
flare_linked,36,0.001,1.0,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.1,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.01,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.07,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.001,0.0,0.0,0.0,0.0
flare_linked,36,0.001,0.005,0.0,0.0,0.0,0.0
flare_linked,36,0.01,1.0,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.1,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.01,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.07,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.001,0.0,0.0,0.0,0.0
flare_linked,36,0.01,0.005,0.0,0.0,0.0,0.0
flare_linked,36,0.1,1.0,0.0637,0.0586,0.0771,0.0756
flare_linked,36,0.1,0.1,0.1009,0.0461,0.0784,0.0339
flare_linked,36,0.1,0.01,0.0069,0.057,0.0096,0.0518
flare_linked,36,0.1,0.07,0.0701,0.0611,0.0554,0.0463
flare_linked,36,0.1,0.001,0.0,0.0,0.0,0.0
flare_linked,36,0.1,0.005,-0.0166,0.0575,-0.0091,0.0527
flare_linked,36,1.0,1.0,0.2945,0.0639,0.3383,0.0687
flare_linked,36,1.0,0.1,0.3158,0.0777,0.279,0.0732
flare_linked,36,1.0,0.01,0.0909,0.0858,0.0821,0.0769
flare_linked,36,1.0,0.07,0.3025,0.0745,0.2614,0.0707
flare_linked,36,1.0,0.001,0.0066,0.0714,0.0038,0.0532
