datatype,sampling,time_step,solver,shrinkage,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Temporal,RandomOverSampler,48,eigen,0.92,-0.046156107992515384,0.07907961245530482,0.5089147286821705,0.09234750055839831,0.7608405993053144,0.03350601157430693,0.4627586206896551,0.07631214451654098
Temporal,RandomOverSampler,48,eigen,0.93,-0.047305533279871706,0.07532048879521575,0.5100641539695269,0.08946618481346104,0.7617598026833947,0.030376103266320408,0.4627586206896551,0.07631214451654098
Temporal,RandomOverSampler,48,eigen,0.9400000000000001,-0.04845495856722803,0.07184819153602474,0.5077653033948142,0.09187784842250848,0.7624281437625536,0.028107039400489232,0.4593103448275862,0.07907377678257056
Temporal,RandomOverSampler,48,eigen,0.9500000000000001,-0.05295108259823578,0.07184482046904218,0.5089280940924886,0.09189288310751888,0.7641205547528822,0.027579203500013635,0.45597701149425285,0.07654525187509335
Temporal,RandomOverSampler,48,eigen,0.96,-0.053079390537289516,0.06707419794811535,0.5123897353648756,0.09118129476341702,0.7639973864157551,0.024446025210788876,0.4593103448275862,0.07170460977893042
Temporal,RandomOverSampler,48,eigen,0.97,-0.04975942261427428,0.07388296527457251,0.5124031007751938,0.093846516969795,0.7621271636152998,0.028046820846925908,0.4626436781609195,0.06961428563662857
Temporal,RandomOverSampler,48,eigen,0.98,-0.05207163859930501,0.07740198135946229,0.5147153167602244,0.09628043906473491,0.7626506243275603,0.029047983758979212,0.4626436781609195,0.06799945986900108
Temporal,RandomOverSampler,48,eigen,0.99,-0.04973269179363808,0.07542319130254804,0.5123763699545576,0.09227847870418866,0.7621497685941463,0.028554264427053656,0.4626436781609195,0.06799945986900108
Temporal,RandomUnderSampler,8,svd,,0.027052334638541554,0.05591955938638422,0.45616605616605616,0.06895810189884055,0.7444296061923181,0.021979142992910438,0.48321839080459766,0.09969725609184056
Temporal,RandomUnderSampler,8,lsqr,0.0,0.027052334638541554,0.05591955938638422,0.45616605616605616,0.06895810189884055,0.7444296061923181,0.021979142992910438,0.48321839080459766,0.09969725609184056
Temporal,RandomUnderSampler,8,lsqr,0.01,0.021381836554250362,0.08376686932528504,0.45838827838827845,0.06231669663079931,0.7470961859909212,0.03307567855213183,0.47977011494252875,0.10873611819774255
Temporal,RandomUnderSampler,8,lsqr,0.02,0.015801860974274783,0.0847329217110946,0.46396825396825403,0.05260677632294115,0.7500360007883954,0.03207511152694055,0.47977011494252875,0.10873611819774255
Temporal,RandomUnderSampler,8,lsqr,0.03,0.02715506715506717,0.08448021044452667,0.4628449328449328,0.0494123987959699,0.7452020385050637,0.03197656477486204,0.49000000000000005,0.10415473970561495
Temporal,RandomUnderSampler,8,lsqr,0.04,0.014588017346638038,0.08264684789748622,0.4617338217338217,0.0513978052863596,0.7496925128640728,0.032362553203554106,0.4763218390804598,0.09802946863487012
Temporal,RandomUnderSampler,8,lsqr,0.05,0.019044671803292484,0.07471861247968434,0.463943833943834,0.046680364979944954,0.7476625646374135,0.029680989016975294,0.4829885057471265,0.08932269622723378
Temporal,RandomUnderSampler,8,lsqr,0.06,0.00784303818786577,0.06931437190117641,0.4683638583638584,0.05223934825976664,0.7518675541209818,0.02794778267773642,0.47620689655172416,0.08685587139979532
Temporal,RandomUnderSampler,8,lsqr,0.07,0.0067441370889646576,0.06850887378032819,0.4727960927960928,0.049846252904355536,0.7521631395801471,0.027551511805001015,0.47954022988505746,0.08314850688607742
Temporal,RandomUnderSampler,8,lsqr,0.08,0.007970190728811416,0.061866497527230196,0.4716849816849817,0.052968644337632986,0.7514082168295152,0.02453921516069246,0.4796551724137931,0.07806290338349654
Temporal,RandomUnderSampler,8,lsqr,0.09,-4.968211864762595e-05,0.05267026055429766,0.4728083028083028,0.05142691470151175,0.7539880710292534,0.02160599198439067,0.4727586206896552,0.06277809053385393
Temporal,RandomUnderSampler,8,lsqr,0.1,-0.00016462464738326021,0.05934019001214607,0.4728083028083028,0.05214212912598256,0.7538878727145165,0.023859947449138844,0.47264367816091957,0.06360757945681163
Temporal,RandomUnderSampler,8,lsqr,0.11,-0.0012879457707043907,0.05876827956563702,0.4739316239316239,0.052462552173188334,0.7543399104643483,0.023509307187858788,0.47264367816091957,0.06360757945681163
Temporal,RandomUnderSampler,8,lsqr,0.12,-6.189213085763812e-05,0.05439536274035816,0.47615384615384615,0.05163051126915965,0.7542580348088823,0.02165612602686871,0.47609195402298854,0.06678704945494754
Temporal,RandomUnderSampler,8,lsqr,0.13,0.0022874826323102393,0.05039757928584371,0.47391941391941395,0.057307642554504934,0.7529583702578201,0.01964219334797647,0.47620689655172416,0.062408712563906205
Temporal,RandomUnderSampler,8,lsqr,0.14,-0.0011607932297587275,0.05115504778103452,0.47391941391941395,0.05555749302261015,0.7543803607686884,0.020227306666344334,0.4727586206896552,0.0629021347592678
Temporal,RandomUnderSampler,8,lsqr,0.15,-0.005605237674203178,0.05081002960228598,0.47836385836385836,0.05870994400025606,0.7560085215939671,0.01949891494070062,0.4727586206896552,0.0629021347592678
Temporal,RandomUnderSampler,8,lsqr,0.16,-0.008938571007536505,0.05283547651941059,0.48169719169719166,0.056544418895770075,0.7573639746892539,0.020534701617962604,0.4727586206896552,0.0629021347592678
Temporal,RandomUnderSampler,8,lsqr,0.17,-0.014609069091827692,0.057029432539964155,0.4839194139194139,0.05743143920675522,0.7593566640404338,0.021852770203947918,0.46931034482758616,0.06129368947454139
Temporal,RandomUnderSampler,8,lsqr,0.18,-0.0033830154519809475,0.0511978105509712,0.4794749694749695,0.05773395399761266,0.7553237726426826,0.02032222872382763,0.47609195402298854,0.06678704945494753
Temporal,RandomUnderSampler,8,lsqr,0.19,-0.002284114353079858,0.05252674099962879,0.4783760683760684,0.056884884905938994,0.7549206946787403,0.020720597532911125,0.47609195402298854,0.06678704945494753
Temporal,RandomUnderSampler,8,lsqr,0.2,-6.189213085763256e-05,0.054218683609742455,0.47615384615384615,0.05686484791576183,0.754027608661535,0.021353743399580658,0.47609195402298854,0.06678704945494753
Temporal,RandomUnderSampler,8,lsqr,0.21,-0.0022841143530798525,0.051602784482619415,0.4783760683760684,0.05731729971667636,0.7549303993448727,0.020167593740543138,0.47609195402298854,0.06678704945494753
Temporal,RandomUnderSampler,8,lsqr,0.22,6.526041008800832e-05,0.05822004961538561,0.4828083028083028,0.0589175487349332,0.7540553420663278,0.022520241771212063,0.48287356321839087,0.07121883973946345
Temporal,RandomUnderSampler,8,lsqr,0.23,0.001406256578670373,0.056859549025128256,0.4883638583638583,0.061978292589403954,0.753805844610093,0.02225593179127514,0.48977011494252876,0.07729310323461214
Temporal,RandomUnderSampler,8,lsqr,0.24,-0.005375352616731927,0.05781716630833356,0.4916971916971916,0.06161704965064312,0.7565122361161511,0.022791290750882563,0.48632183908045973,0.07979603076984308
Temporal,RandomUnderSampler,8,lsqr,0.25,0.0002951454675592602,0.06391040555881217,0.49280830280830273,0.06382112647176635,0.7544763601053565,0.02479985840282099,0.493103448275862,0.08544181570550205
Temporal,RandomUnderSampler,8,lsqr,0.26,0.00030735547976926125,0.061502257183066865,0.4927960927960928,0.05952457968882799,0.7546899606972388,0.02407933710259575,0.493103448275862,0.08544181570550205
Temporal,RandomUnderSampler,8,lsqr,0.27,0.0036406888131025883,0.0756667716093256,0.4927960927960928,0.05952457968882799,0.7535392820313362,0.029000038113090033,0.4964367816091954,0.09275862068965515
Temporal,RandomUnderSampler,8,lsqr,0.28,-0.00103364068881312,0.07953068944437752,0.49390720390720394,0.06238014936852171,0.7552896593056972,0.030311901410300157,0.4928735632183908,0.0966635914609187
Temporal,RandomUnderSampler,8,lsqr,0.29,-0.0010458507010231266,0.07798298507661162,0.49391941391941396,0.06286557640237654,0.755323105499905,0.029724262774874766,0.4928735632183908,0.0966635914609187
