datatype,sampling,time_step,criterion,max_depth,max_features,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,SMOTE,12,entropy,6,5,0.14244560618256977,0.07357906896252134,0.40600536050739056,0.0878014758428419,0.6834646804298083,0.03874021947098618,0.5484509666899604,0.04341532732445429
Non_temporal,SMOTE,12,entropy,6,10,0.18370426393274894,0.061054570524914024,0.42711567550354274,0.13636810977504163,0.6658027174952372,0.044578114440691936,0.6108199394362916,0.1595563499050974
Non_temporal,SMOTE,12,entropy,10,2,0.13164866562287147,0.03460978347817062,0.3765623756070377,0.07033438746617994,0.6858557741717992,0.025124534284338088,0.5082110412299091,0.06571922084658545
Non_temporal,SMOTE,12,entropy,10,3,0.1333094498845633,0.023711254196101903,0.3682628771594618,0.07444909292382529,0.6845350858425888,0.018109814046831985,0.5015723270440252,0.07515986416803218
Non_temporal,SMOTE,12,entropy,10,5,0.15522546270496274,0.06613441504654528,0.31478385478863147,0.058598766092505805,0.6639635355894294,0.039286918185822174,0.47000931749359426,0.06062451591792971
Non_temporal,SMOTE,12,entropy,10,10,0.16732346150784172,0.0660758540275582,0.33686941060955866,0.022636237972265685,0.668245017247281,0.02661431273294789,0.5041928721174004,0.08472429318134093
Non_temporal,SMOTE,12,entropy,12,2,0.12278893813007337,0.08796024319956088,0.35985723005068593,0.07613876341649577,0.6845954530105614,0.045756247402371816,0.4826461681807594,0.037051684287881324
Non_temporal,SMOTE,12,entropy,12,3,0.18056550699254303,0.0609657676999913,0.2769816628187777,0.026826452428009042,0.6433253830035547,0.03986278559177779,0.45754716981132076,0.04924672881561581
Non_temporal,SMOTE,12,entropy,12,5,0.16267945758034127,0.0800042207388657,0.31059098267123103,0.04064600681442863,0.6632163552078806,0.043856020878182626,0.47327044025157233,0.09022746374467656
Non_temporal,SMOTE,12,entropy,12,10,0.1846021046920657,0.050700801583486506,0.26339463418517634,0.045650205246309195,0.6349734113965857,0.032124612544558756,0.44799673887724206,0.05842169371137984
Non_temporal,SMOTE,24,gini,2,2,0.12779952824160282,0.04048832413151921,0.4537867750428137,0.1440217565582129,0.6938623242887787,0.03291287426899492,0.5815863032844165,0.1283574178337509
Non_temporal,SMOTE,24,gini,2,3,0.13573410709041003,0.061269500972011996,0.6195652173913043,0.04336770648992873,0.7117472795508415,0.018167313938254128,0.7552993244817144,0.08140351871890351
Non_temporal,SMOTE,24,gini,2,5,0.16900954367912713,0.06689566995863058,0.5401681875111827,0.10872386339100258,0.6937155861988797,0.026435549120213644,0.7091777311903097,0.11307818344749683
Non_temporal,SMOTE,24,gini,2,10,0.1454066733895373,0.019411979117741764,0.5948099583365284,0.06409937299529322,0.7068343874296373,0.0059050622114713335,0.7402166317260656,0.07419970700073426
Non_temporal,SMOTE,24,gini,6,2,0.16949362412401334,0.03760838464452152,0.4433645170360147,0.034633679792884633,0.6849497791472633,0.012342507958928639,0.6128581411600279,0.057013168665551096
Non_temporal,SMOTE,24,gini,6,3,0.190541297186088,0.049100696655545985,0.450502262096465,0.07515845747061585,0.6764876917880766,0.02322253836060847,0.6410435592825531,0.07306281202905138
Non_temporal,SMOTE,24,gini,6,5,0.18825364030905914,0.09244871938792645,0.483654116504358,0.08237915690103413,0.6798968783782096,0.03912473516991009,0.6719077568134172,0.0634345945180276
Non_temporal,SMOTE,24,gini,6,10,0.18749587054664074,0.04030652576667253,0.43421388952789913,0.09177018262227116,0.6763901461613911,0.011312792640258435,0.6217097600745399,0.11918785927504696
Non_temporal,SMOTE,24,gini,10,2,0.11698325407194243,0.06350125283415185,0.3444073818469953,0.08314057725194829,0.6875066322810061,0.03371341397277684,0.46139063591893775,0.0828789164797673
Non_temporal,SMOTE,24,gini,10,3,0.17171593315518208,0.0917052350669898,0.3422603072361527,0.06995868343117162,0.6650551543936878,0.04324211249425101,0.5139762403913347,0.10196910207610695
