datatype,sampling,time_step,n_estimators,learning_rate,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,class_weight,36,20,0.05,0.10447154471544715,0.13031633154195255,0.1371951219512195,0.05466149685609134,0.7260497835497837,0.11364061061946279,0.2416666666666667,0.13061464383898608
Non_temporal,class_weight,36,20,0.1,0.11314363143631437,0.14299915158289292,0.1396341463414634,0.06354407521042857,0.7139538239538241,0.11905131045044304,0.25277777777777777,0.14215601757693316
Non_temporal,class_weight,36,50,0.001,0.12014905149051491,0.18967550193837773,0.1520731707317073,0.06374690157054953,0.7645743145743146,0.1673589471684406,0.27222222222222225,0.2051798368068821
Non_temporal,class_weight,36,50,0.01,0.1304268292682927,0.15872756907807445,0.1445731707317073,0.058199263085337974,0.7073124098124098,0.1319527972153415,0.275,0.1526261874201795
Non_temporal,class_weight,36,50,0.05,0.12669376693766937,0.154534961783815,0.13719512195121952,0.05985618795219879,0.696883116883117,0.1427211619791872,0.2638888888888889,0.14366778378873057
Non_temporal,class_weight,36,50,0.1,0.12539972899728996,0.12729690085624445,0.1273780487804878,0.06338322979428601,0.6814574314574314,0.1367426609831565,0.25277777777777777,0.12357209121964012
Non_temporal,class_weight,48,5,0.001,0.14481707317073172,0.1606531438515514,0.14268292682926828,0.04414650990400422,0.7248412698412698,0.11306950417331142,0.2875,0.1681703005884214
Non_temporal,class_weight,48,5,0.01,0.21243902439024387,0.17690961168888464,0.15006097560975612,0.0571068081508698,0.6841852591852593,0.09940390893528771,0.3625,0.19724667297574375
Non_temporal,class_weight,48,5,0.05,0.1971951219512195,0.15222966110585848,0.1403048780487805,0.0579444453316689,0.6810317460317461,0.09467322563589649,0.3375,0.17721808598447283
Non_temporal,class_weight,48,5,0.1,0.2225609756097561,0.19512728651242342,0.15243902439024387,0.06255455679523043,0.6888765401265401,0.11565639951523982,0.375,0.21650635094610965
Non_temporal,class_weight,48,10,0.001,0.18969512195121951,0.17134047608430056,0.1353048780487805,0.05230303552646414,0.6877922077922077,0.1140376012636933,0.325,0.18708286933869708
Non_temporal,class_weight,48,10,0.01,0.21243902439024392,0.16730938437855267,0.15006097560975612,0.06113178171194277,0.6812881562881563,0.10229524346544093,0.3625,0.18915932438026944
Non_temporal,class_weight,48,10,0.05,0.21237804878048777,0.172648441592431,0.15012195121951222,0.06525290569291328,0.6872176434676434,0.09909270217525878,0.3625,0.20501524333570909
Non_temporal,class_weight,48,10,0.1,0.195,0.19455630664281068,0.14250000000000002,0.045018875345994636,0.7007112332112332,0.1146404119933204,0.3375,0.20953818267800262
Non_temporal,class_weight,48,20,0.001,0.1722560975609756,0.15710948915451106,0.1402439024390244,0.05120208762846867,0.7066089466089466,0.10317316117217516,0.3125,0.1789727632909544
Non_temporal,class_weight,48,20,0.01,0.21481707317073168,0.19595345883891402,0.14768292682926829,0.059832454947798264,0.6816239316239316,0.11112327014204762,0.3625,0.2125
Non_temporal,class_weight,48,20,0.05,0.2049390243902439,0.18834860513240922,0.14506097560975612,0.06073394182391386,0.6883333333333332,0.11139309456494532,0.35,0.20766559657295186
Non_temporal,class_weight,48,20,0.1,0.1995731707317073,0.20136525579238623,0.12542682926829268,0.04200511462866494,0.6793650793650793,0.13151107371414858,0.325,0.21065374432940895
Non_temporal,class_weight,48,50,0.001,0.1599390243902439,0.15708246118941924,0.1525609756097561,0.0595234395614689,0.7168650793650795,0.10028795307700678,0.3125,0.1789727632909544
Non_temporal,class_weight,48,50,0.01,0.19506097560975608,0.18857686006899166,0.15493902439024393,0.06161159185608701,0.7020604395604396,0.11400366297260475,0.35,0.20766559657295186
Non_temporal,class_weight,48,50,0.05,0.1946951219512195,0.2013770724593892,0.1303048780487805,0.06392387580302021,0.6729365079365078,0.1359162379332875,0.325,0.21065374432940895
Non_temporal,class_weight,48,50,0.1,0.2044512195121951,0.2133932132106791,0.12054878048780489,0.04365278780791368,0.670604118104118,0.15030727214610107,0.325,0.2179449471770337
Temporal,SMOTE,12,5,0.001,0.05494505494505494,0.2287346260000947,0.23076923076923075,0.03479060335019609,0.8216919191919192,0.12077702053755755,0.2857142857142857,0.22059173666688942
Temporal,SMOTE,12,5,0.01,0.08614806246385194,0.18033591923440048,0.22813765182186235,0.04356848229929574,0.7996031746031746,0.09559928802750953,0.3142857142857143,0.17753269316623668
Temporal,SMOTE,12,5,0.05,0.0783208020050125,0.18691436000250627,0.2359649122807017,0.04331652717303385,0.8030594405594407,0.10229335306927625,0.3142857142857143,0.17753269316623668
Temporal,SMOTE,12,5,0.1,0.07955465587044533,0.18318634026373037,0.2204453441295547,0.04467430895994381,0.7953574203574204,0.11111491454632057,0.29999999999999993,0.1612688843553662
Temporal,SMOTE,12,10,0.001,0.0783208020050125,0.18691551705533946,0.2359649122807017,0.03491216593694017,0.8046212121212122,0.09776217957747879,0.3142857142857143,0.17753269316623668
Temporal,SMOTE,12,10,0.01,0.0887121650279545,0.19048754793442635,0.2255735492577598,0.047126396860924104,0.7946031746031746,0.10608579080790165,0.3142857142857143,0.17753269316623668
Temporal,SMOTE,12,10,0.05,0.07186234817813764,0.18591221162347754,0.22813765182186235,0.04937819193209536,0.8026839826839826,0.1048644537619275,0.29999999999999993,0.17346263492258415
Temporal,SMOTE,12,10,0.1,0.0628397917871602,0.1848148270120222,0.22287449392712552,0.04964267370745284,0.8002633477633477,0.11731646109802488,0.2857142857142857,0.1554699918548494
Temporal,SMOTE,12,20,0.001,0.018681318681318677,0.17836278546978887,0.2384615384615385,0.03488496385880187,0.8386679986679987,0.09826320232153085,0.2571428571428571,0.17753269316623668
Temporal,SMOTE,12,20,0.01,0.043290919606709076,0.2056110001514724,0.22813765182186235,0.050692191486141076,0.8212698412698411,0.11994361235019145,0.2714285714285714,0.19558259385847238
Temporal,SMOTE,12,20,0.05,0.07456140350877194,0.18247559340610298,0.22543859649122808,0.04932098986468674,0.801168831168831,0.10210189585157296,0.29999999999999993,0.17346263492258415
Temporal,SMOTE,12,20,0.1,0.06277231540389434,0.18157502253849553,0.22294197031039137,0.04979848515594529,0.8018109668109668,0.11289904618855529,0.2857142857142857,0.1554699918548494
Temporal,SMOTE,12,50,0.001,0.021245421245421236,0.1808959069996683,0.23589743589743586,0.03636745452679332,0.8363952713952714,0.10052452880451468,0.2571428571428571,0.17753269316623668
Temporal,SMOTE,12,50,0.01,0.06153846153846152,0.17312806913861176,0.2384615384615385,0.04014272064751159,0.8143506493506493,0.08846238786528338,0.29999999999999993,0.17346263492258415
Temporal,SMOTE,12,50,0.05,0.049493927125506064,0.1905720851721996,0.22550607287449392,0.04947431737275524,0.8159848484848485,0.11183339902203979,0.27499999999999997,0.17878558586834037
Temporal,SMOTE,12,50,0.1,0.0571187584345479,0.1846603124434836,0.21788124156545213,0.0623296631989854,0.8076529026529027,0.11031549358843618,0.27499999999999997,0.1669809961080137
Temporal,SMOTE,24,5,0.001,0.12362832757569597,0.13890977360000029,0.2299431009957326,0.05046284322312452,0.7748310023310024,0.09449447760468055,0.35357142857142854,0.14742691028964494
Temporal,SMOTE,24,5,0.01,0.15377463930095508,0.1827728905403538,0.2140825035561878,0.045224866299139216,0.7528146853146853,0.11335523185835795,0.3678571428571428,0.17261494247992246
Temporal,SMOTE,24,5,0.05,0.122569091648039,0.18612117824781188,0.23278805120910384,0.05784862784087678,0.7746661671661672,0.1122845445952628,0.3553571428571428,0.17613516667257426
Temporal,SMOTE,24,5,0.1,0.1045951026214184,0.1579016280927505,0.2221906116642959,0.055765922796991566,0.7808916083916084,0.1085450841216409,0.3267857142857143,0.14812820219564635
Temporal,SMOTE,24,10,0.001,0.11295976427555374,0.14434945117435874,0.24061166429587483,0.06129535025934909,0.7805172768408063,0.09669324005666641,0.35357142857142854,0.14742691028964494
Temporal,SMOTE,24,10,0.01,0.15290337329811013,0.1769623521027222,0.2274537695590327,0.04873383937880474,0.759531857031857,0.10573638224152997,0.38035714285714284,0.17714609732059686
Temporal,SMOTE,24,10,0.05,0.11822292217029058,0.17964010192145036,0.23534850640113797,0.0672482158845443,0.7659615384615384,0.09369350149408562,0.35357142857142854,0.1537789295829356
Temporal,SMOTE,24,10,0.1,0.11789524486892906,0.1535833442993787,0.20889046941678518,0.05695059005802807,0.770506993006993,0.10680361826029186,0.3267857142857143,0.14812820219564635
Temporal,SMOTE,24,20,0.001,0.09491211135947977,0.15339398683917785,0.2461593172119488,0.05743915906862164,0.7909848484848485,0.09747882766926336,0.3410714285714285,0.15035035614136977
Temporal,SMOTE,24,20,0.01,0.11800955090428773,0.15454993477905857,0.23556187766714082,0.05546722758218172,0.7732548007548008,0.09684366172187811,0.35357142857142854,0.14742691028964494
Temporal,SMOTE,24,20,0.05,0.11368878276773012,0.18650699895850217,0.2273826458036984,0.05913036705764273,0.7790617715617716,0.11435947102032434,0.3410714285714286,0.17540950629301474
Temporal,SMOTE,24,20,0.1,0.10539524486892907,0.1531172926942315,0.20889046941678518,0.060676567321407984,0.7772058497058496,0.10584643475627488,0.3142857142857143,0.14880476182856897
Temporal,SMOTE,24,50,0.001,0.10024639300955088,0.15424227290109985,0.24082503556187768,0.05400274573207138,0.7876332001332002,0.09801117624394623,0.3410714285714285,0.15035035614136977
Temporal,SMOTE,24,50,0.01,0.09484098760414547,0.16370456969623076,0.24623044096728303,0.05397426168786805,0.7857955932955933,0.09562284351771426,0.3410714285714285,0.15035035614136977
Temporal,SMOTE,24,50,0.05,0.1011887827677301,0.1874967817293015,0.22738264580369844,0.05396324820130679,0.7853243978243978,0.11078110930633092,0.32857142857142857,0.1769930241909124
Temporal,SMOTE,24,50,0.1,0.09566907132696605,0.15846309626786734,0.2061166429587482,0.06072719330765557,0.7857090132090132,0.10717856170935025,0.30178571428571427,0.158607219255619
Temporal,SMOTE,36,5,0.001,0.018611562690510043,0.15112153664654496,0.2260312944523471,0.0680983865735519,0.8212782805429863,0.09447232968714502,0.2446428571428571,0.1509007817023071
Temporal,SMOTE,36,5,0.01,0.04445742735216418,0.16248447977512984,0.22339971550497867,0.06472531374809426,0.8091971916971918,0.09902605204679686,0.2678571428571429,0.16789513247918797
Temporal,SMOTE,36,5,0.05,0.038980898191424494,0.1552072404393291,0.22887624466571835,0.07645112278108761,0.8095680708180708,0.10920381194795808,0.26785714285714285,0.15526475085202968
Temporal,SMOTE,36,5,0.1,0.0738035968299126,0.17223202383955102,0.22083926031294454,0.08587748001252707,0.788268047741732,0.11305578106120798,0.2946428571428571,0.18250139781404862
Temporal,SMOTE,36,10,0.001,0.015040134119081472,0.14400626438803432,0.2260312944523471,0.07021092742507232,0.8190140415140416,0.10700678951478551,0.24107142857142855,0.1404370910073697
Temporal,SMOTE,36,10,0.01,0.07928012599065229,0.16350798474544742,0.2153627311522049,0.07701477805645277,0.7839461682108742,0.11422669600037691,0.2946428571428571,0.173728984927909
Temporal,SMOTE,36,10,0.05,0.04884931924405607,0.16297728645392875,0.2315078236130868,0.06500979696950883,0.8132471450118508,0.09622401662936148,0.28035714285714286,0.17964853725754493
Temporal,SMOTE,36,10,0.1,0.09525502946555575,0.19192116663460865,0.22617354196301567,0.08793209103394724,0.7750645845382689,0.1366835029204794,0.32142857142857145,0.1947984306184949
Temporal,SMOTE,36,20,0.001,0.04182584840479576,0.16563826698432588,0.2260312944523471,0.06916272328288442,0.8167075734722793,0.10061418133130998,0.2678571428571429,0.18557687223952254
Temporal,SMOTE,36,20,0.01,0.06861156269051005,0.156639059829933,0.2260312944523471,0.07902153296250422,0.7938003663003663,0.10991570761591488,0.2946428571428571,0.173728984927909
Temporal,SMOTE,36,20,0.05,0.09887472058524689,0.16345415891071305,0.22076813655761027,0.06886616145229335,0.7754670329670329,0.0895262271489377,0.3196428571428571,0.1744981872310964
Temporal,SMOTE,36,20,0.1,0.10686344238975816,0.19129857275125267,0.2181365576102418,0.0811733958267181,0.7584035409035409,0.13147941342707717,0.325,0.1815466432448405
Temporal,SMOTE,36,50,0.001,0.024862832757569585,0.14294538878502328,0.21799431009957324,0.07048593812869705,0.8152228327228327,0.10279176108914681,0.24285714285714283,0.1490189003216076
Temporal,SMOTE,36,50,0.01,0.08651696809591544,0.1862133147881514,0.2206258890469417,0.06866062044744603,0.7847191697191698,0.12067790152072289,0.3071428571428571,0.19162969178994732
Temporal,SMOTE,36,50,0.05,0.1419020524283682,0.17185140001596375,0.1938122332859175,0.08303237717228842,0.711692612942613,0.15696554389506417,0.33571428571428574,0.16785714285714287
Temporal,SMOTE,36,50,0.1,0.1267247510668563,0.20136973218069446,0.18577524893314368,0.07524597519778786,0.7276179376179377,0.1596261867351607,0.3125,0.17317746294904943
