datatype,sampling,time_step,penalty,C,tss_mean,tss_std,far_mean,far_std,fdr_mean,fdr_std,pod_mean,pod_std
Non_temporal,class_weight,36,l1,0.1,0.19635854341736692,0.09100354933589144,0.46078431372549017,0.07287288601626718,0.7705287402655824,0.026187954040092148,0.657142857142857,0.11517511068997928
Non_temporal,class_weight,36,l1,1.5,0.21213818860877687,0.1748172155315272,0.35294117647058815,0.09492606240704453,0.7427683427683428,0.07036187418674783,0.5650793650793651,0.13118065721520245
Non_temporal,class_weight,36,l1,10.0,0.23961251167133524,0.11608426398329005,0.33578431372549017,0.07754554911547241,0.7346093985237466,0.045602406434812275,0.5753968253968255,0.11937784886104225
Non_temporal,class_weight,36,l2,0.001,0.1373949579831933,0.13374066842685656,0.35784313725490197,0.058000782187251125,0.7745660447414834,0.04756726474293922,0.4952380952380952,0.10487007402640591
Non_temporal,class_weight,36,l2,0.01,0.18753501400560224,0.09058387846830386,0.35294117647058815,0.06845215707729872,0.754820358852617,0.03852675797700005,0.5404761904761904,0.07162670931662536
Non_temporal,class_weight,36,l2,0.05,0.19077964519140989,0.14149922665375997,0.3504901960784314,0.07274912784145016,0.75023378776739,0.06445598875599706,0.5412698412698412,0.088519641229198
Non_temporal,class_weight,36,l2,0.1,0.2130018674136321,0.16404621100138783,0.3504901960784314,0.07022818030340393,0.7434321567428475,0.07631973101239913,0.5634920634920634,0.12269543518841512
Non_temporal,class_weight,36,l2,1.5,0.2642156862745098,0.1315525164437983,0.33578431372549017,0.09355556217643289,0.7188336355003021,0.06291270663376018,0.6,0.06649638116080449
Non_temporal,class_weight,36,l2,10.0,0.25396825396825395,0.1079194034308757,0.3333333333333333,0.08260931150172901,0.7268072058179121,0.04626599922039383,0.5873015873015873,0.09880872696816456
Non_temporal,class_weight,48,l1,0.001,,,,,,,,
Non_temporal,class_weight,48,l1,0.01,,,,,,,,
Non_temporal,class_weight,48,l1,0.05,0.08468123184980077,0.14220543725019882,0.46660081943225046,0.08873921326635104,0.8113590743826693,0.04817660447673957,0.5512820512820512,0.14680603976081866
Non_temporal,class_weight,48,l1,0.1,0.11746334584350389,0.1244061979741331,0.5208150424348844,0.08642693198776373,0.8056462848297214,0.03265756020152807,0.6382783882783882,0.14138494260421267
Non_temporal,class_weight,48,l1,1.5,0.21485454112758764,0.09406531681391227,0.375804799531753,0.035665601066375334,0.7656150179369994,0.022474907670074224,0.5906593406593407,0.10662502835213913
Non_temporal,class_weight,48,l1,10.0,0.19901743705518946,0.11930121234683508,0.3660008779631256,0.019968333925399137,0.7695188962681847,0.03314381137848473,0.565018315018315,0.12393801447522065
Non_temporal,class_weight,48,l2,0.001,0.09341141737981074,0.15130092530075936,0.420324846356453,0.08278401634878046,0.8018003249068717,0.05045363105061727,0.5137362637362638,0.10472043160739515
Non_temporal,class_weight,48,l2,0.01,0.17391870640334206,0.11719180946759286,0.3883523558677202,0.056569558931172645,0.7763505729231537,0.042724123871316896,0.5622710622710623,0.09775828677716132
Non_temporal,class_weight,48,l2,0.05,0.23226144648444913,0.12201987513750599,0.353819139596137,0.04076604277931132,0.7533564814814815,0.04505797652017742,0.5860805860805861,0.1054824219778896
Non_temporal,class_weight,48,l2,0.1,0.2726083544784159,0.1315614889774643,0.3391132572431958,0.033331537918477885,0.7382095366882385,0.04747299748287121,0.6117216117216118,0.11808571662868037
Non_temporal,class_weight,48,l2,1.5,0.2360341955381464,0.09252519553101703,0.3537093942054434,0.03073099567145975,0.7546061985400221,0.02508597171423959,0.5897435897435898,0.10336227882434036
Non_temporal,class_weight,48,l2,10.0,0.2192274728490707,0.14218397845842465,0.3586113549897571,0.023503085670693022,0.7623445476268058,0.03955293253990997,0.5778388278388279,0.14635120755102426
Temporal,SMOTE,12,l1,0.001,,,,,,,,
Temporal,SMOTE,12,l1,0.01,,,,,,,,
Temporal,SMOTE,12,l1,0.05,0.1702190170940171,0.11589203246049387,0.4846955128205128,0.07594653407205314,0.7968859909726782,0.03320493239751765,0.6549145299145299,0.14239894022814636
Temporal,SMOTE,12,l1,0.1,0.19654113247863247,0.1252872105895183,0.39106570512820515,0.0730208139893111,0.7753369710686785,0.04446543982634854,0.5876068376068376,0.11125483800807533
Temporal,SMOTE,12,l1,1.5,0.2466479700854701,0.10566188763376903,0.30036057692307694,0.05650806972216752,0.7374317891559271,0.061210327435659614,0.547008547008547,0.06810845064320183
Temporal,SMOTE,12,l1,10.0,0.23689903846153845,0.1339281347095741,0.2951522435897436,0.04457139963258864,0.7424627841294508,0.07228287777751355,0.532051282051282,0.10991300127873235
Temporal,SMOTE,12,l2,0.001,0.1437099358974359,0.14290578594497613,0.3755208333333333,0.07656044540306962,0.7897820252240985,0.054221929474081616,0.5192307692307693,0.13436076856634607
Temporal,SMOTE,12,l2,0.01,0.25462072649572653,0.1148191948439431,0.3340544871794872,0.06119534293656343,0.7462161680911681,0.04661575685970192,0.5886752136752137,0.09696358949210832
