,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
51,856,11295,M1.6,2011.09.21_22:15_TAI,4.923581e+22,107.552,0.00258795,5887.555,24.303,3520.217,53.105,0.00682065,40.089,112.606,-0.01896208,74427500000000.0,7521038000000.0,5.881482e+23,34.502,2048.782715,4.518,194.668
52,856,11295,M1.7,2011.09.22_16:59_TAI,5.462495e+22,97.409,0.0053988,5629.683,16.735,3303.321,45.428,0.01296091,35.033,102.669,-0.05229211,62830600000000.0,17664360000000.0,5.716134e+23,29.94,1848.330811,4.667,412.765
53,892,11302,M3.7,2011.09.23_15:33_TAI,6.016643e+22,71.116,-0.00772472,14895.83,38.016,4649.869,47.059,-0.01278066,46.426,85.456,0.04394321,72154540000000.0,16987580000000.0,1.527294e+24,41.173,1941.956299,4.759,596.364
54,892,11302,M4.0,2011.09.24_05:08_TAI,5.801843e+22,80.1,-0.01228411,18758.53,42.388,5025.631,52.475,-0.01873112,48.901,95.563,0.06159408,79843920000000.0,20070250000000.0,1.845269e+24,43.03,1935.68042,4.96,909.884
55,892,11302,M2.6,2011.09.24_14:46_TAI,5.343537e+22,77.32,-0.00382893,19640.63,46.36,4859.874,51.074,-0.00652568,50.979,92.382,0.04393921,78359040000000.0,6040304000000.0,1.899071e+24,45.151,1914.258911,4.865,278.765
56,892,11302,M1.2,2011.09.26_13:28_TAI,4.21984e+22,82.821,-0.00210688,20818.0,57.082,4489.224,60.73,-0.00357072,57.756,94.664,0.21242978,75503910000000.0,6883916000000.0,1.694333e+24,51.251,1847.976318,5.128,129.111
57,902,11305,M3.9,2011.09.30_00:50_TAI,9.58373e+21,102.758,-0.01948054,14600.95,50.766,884.893,65.833,-0.03674181,56.822,105.172,0.34383225,17562180000000.0,12779630000000.0,2.97473e+23,47.204,508.148163,4.058,298.812
58,892,11302,M1.3,2011.09.30_17:23_TAI,3.589259e+22,94.033,-0.01369327,15072.38,50.472,3177.279,62.132,-0.02426004,54.993,101.238,0.15143517,60320610000000.0,26690410000000.0,1.06069e+24,47.009,1732.861938,4.766,725.606
59,940,11319,M1.3,2011.10.19_13:00_TAI,6.551768e+22,93.23,-0.00062712,6383.931,22.468,3542.458,42.977,-0.00169395,38.417,95.715,0.20716959,80173410000000.0,11287110000000.0,8.85169e+23,32.532,2610.327881,4.614,65.474
60,940,11314,M1.3,2011.10.20_11:10_TAI,7.055884e+22,80.826,-0.00098408,5833.903,18.36,3232.146,35.635,-0.00264697,35.843,83.606,0.06114898,67429100000000.0,4126565000000.0,8.469921e+23,29.612,2102.570068,4.453,107.578
61,1028,11339,M1.8,2011.11.03_20:38_TAI,8.218218e+22,74.03,-0.00194645,13302.99,38.202,5555.378,46.693,-0.00348071,45.834,85.683,-0.04627044,95237850000000.0,2576228000000.0,1.901159e+24,40.378,2569.760742,4.977,209.45
